Processed root file        charge                Date      
me11data_2950/A10855.root      749.69       12-OCT-2022
me11data_2950/A11520.root      788.89       05-APR-2023
me11data_2950/A11767.root      793.65       12-May-2023
me11data_2950/A12106.root      807.65       09-AUG-2023
me11data_2950/A12235.root      810.91       16-AUG-2023
me11data_2950/A12883.root      836.69      21-Feb-2024
me11data_2950/A13164.root      850.34      27-Mar-2024
me11data_2950/A13247.root       850.35      08-MAY-2024
me11data_2950/A13406.root       854.09      05-JUN-2024
me11data_2950/A13505.root       856.52      12-JUL-2024
me11data_2950/A13539.root      857.20       17-Jul-2024         
me11data_2950/A13718.root      857.48       31-Jul-2024
me11data_2950/A13801.root      860.68       07-AUG-2024
me11data_2950/A13932.root      885.68       28-AUG-2024
me11data_2950/A13966.root      888.08       04-SEP-2024
me11data_2950/A14036.root      910.38       16-OCT-2024
me11data_2950/A14162.root      923.78       30-OCT-2024
me11data_2950/A14197.root      930.10       06-NOV-2024
me11data_2950/A14322.root      936.30       13-NOV-2024
me11data_2950/A14381.root      951.50       28-NOV-2024
me11data_2950/A14475.root      951.60       19-FEB-2025
me11data_2950/A14557.root      951.70       05-MAR-2025
me11data_2950/A14680.root      974.90       30-APR-2025
me11data_2950/A14779.root      975          07-MAY-2025
