Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_0	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	802	31.1584	0.00034321	12.9743	12.9743	4
layer1_strips23_300V	800	30.4242	0.00608587	-14.1989	14.1989	4
layer2_strips12_300V	2507	62.9953	0.00311955	-58.2184	58.2184	0
layer2_strips23_300V	698	32.7794	0.000784092	-31.6457	31.6457	4
layer3_strips12_300V	1057	21.5015	0.210575	-78.0561	78.0563	4
layer3_strips23_300V	607	90.8857	0.0104348	-55.6598	55.6598	0
layer4_strips12_300V	562	247.001	0.781572	-382.003	382.004	4
layer4_strips23_300V	475	856.777	2.11966	-225.187	225.197	4
layer5_strips12_300V	221	181.185	0.111406	3.09929	3.10129	0
layer5_strips23_300V	587	140.78	0.12497	-15.854	15.8545	0
layer6_strips12_300V	532	6.99554	0.00980439	-82.4665	82.4665	0
layer6_strips23_300V	423	94.5667	0.00706604	-6.24846	6.24847	4
