Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	195	0.722486	0	0	0	210
layer1_strips23_300V	139	40.9508	0.0493895	0	0.0513865	4
layer2_strips12_300V	129	32.0689	2.75867	0	2.75867	210
layer2_strips23_300V	133	48.5822	0.403919	0	0.403919	70
layer3_strips12_300V	248	184.891	0.106132	-5.16154	5.16264	0
layer3_strips23_300V	260	76.4298	0.602892	-10.1299	10.1478	0
layer4_strips12_300V	257	4.11604	0.0604823	-0.180437	0.190304	0
layer4_strips23_300V	167	19.8457	0.490149	0	0.490149	140
layer5_strips12_300V	134	226.148	2.5838	-35.5798	35.6735	0
layer5_strips23_300V	319	205.725	0.392814	-18.188	18.1923	0
layer6_strips12_300V	598	97.6179	0.0885317	-5.23507	5.23582	0
layer6_strips23_300V	284	213.084	0.446482	-5.9636	5.9803	0
