Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	484	951.225	0.669266	-342.237	342.238	0
layer1_strips23_300V	331	932.426	2.94615	-151.401	151.43	0
layer2_strips12_300V	279	1014.38	3.2775	-119.342	119.387	0
layer2_strips23_300V	337	982.085	1.88538	-100.789	100.806	0
layer3_strips12_300V	310	1110.55	1.27643	-85.0781	85.0876	0
layer3_strips23_300V	261	1093.96	4.32863	-126.657	126.731	0
layer4_strips12_300V	562	895.13	0.737813	-68.5133	68.5172	0
layer4_strips23_300V	284	1073.15	2.01448	-96.3838	96.4048	0
layer5_strips12_300V	402	957.165	1.06974	-83.7774	83.7842	0
layer5_strips23_300V	257	1214.88	10.3654	0	10.3654	4
layer6_strips12_300V	474	983.917	1.19874	-102.02	102.027	0
layer6_strips23_300V	537	911.387	0.248477	-41.0127	41.0134	0
