Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	762	73.9206	0.00413576	-74.5959	74.5959	0
layer1_strips23_300V	622	180.075	0.0120876	0	0.0120876	70
layer2_strips12_300V	654	128.312	0.00363595	0	0.00363595	4
layer2_strips23_300V	909	61.2855	0.410659	0	0.410659	70
layer3_strips12_300V	628	802.605	0.66272	0	0.66272	4
layer3_strips23_300V	948	1027.7	1.00576	0	1.00576	4
layer4_strips12_300V	481	93.1184	0.0267095	-125.469	125.469	0
layer4_strips23_300V	567	94.5391	0.011904	-109.932	109.932	0
layer5_strips12_300V	476	1147.99	1.55998	0	1.55998	4
layer5_strips23_300V	417	1208.97	8.72106	0	8.72106	70
