Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	2858	3677.57	0.0489135	-302.371	302.371	0
layer1_strips23_300V	304	3717.8	2.10318	-287.335	287.343	0
layer2_strips12_300V	248	2775.2	2.31336	0	2.31336	4
layer2_strips23_300V	304	2666.3	4.11381	0	4.11381	4
layer3_strips12_300V	316	4953.5	19.2121	0	19.2121	4
layer3_strips23_300V	289	5241.41	1.74156	-616.82	616.822	0
layer4_strips12_300V	302	2052.97	1.40607	-74.5203	74.5336	0
layer4_strips23_300V	306	3404.24	1.92593	0	1.92593	4
layer5_strips12_300V	435	1115.64	2.23316	-303.449	303.458	4
layer5_strips23_300V	521	7539.16	0.550147	-64.7793	64.7816	0
